Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam02.xml,['Adam'],make|makes|making|maked,['P2Y3M18D'],Daddy make go,,,,,,,,
Brown,adam07.xml,['Adam'],make|makes|making|maked,['P2Y6M3D'],dat's that's making garage,garage,object,garage,object,object,,,
Brown,adam08.xml,['Adam'],make|makes|making|maked,['P2Y6M17D'],I making gas,gas,,gas,,0,?,?,
Brown,adam12.xml,['Adam'],make|makes|making|maked,['P2Y8M16D'],le me make rope,rope,object,rope,object,object,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],turkey make xxx poo,poo,event,poo,event,event,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],turtle make mud pie,mud pie,object,mud pie,object,object,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],xxx just like turtle make mud pie,mud pie,object,mud pie,object,object,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],turtle make mud pie,mud pie,object,mud pie,object,object,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],cat make a mud pie,mud pie,object,mud pie,object,object,,,
Brown,adam13.xml,['Adam'],make|makes|making|maked,['P2Y9M4D'],turtle make mud pie,mud pie ,object ,mud pie ,object ,object ,,,
Brown,adam15.xml,['Adam'],make|makes|making|maked,['P2Y10M2D'],I making noise,noise,event,noise,event,event,,,
Brown,adam15.xml,['Adam'],make|makes|making|maked,['P2Y10M2D'],no makes ponies,ponies,object,ponies,object,object,,,
Brown,adam15.xml,['Adam'],make|makes|making|maked,['P2Y10M2D'],we making lots_of things,things,object,things,object,object,,,
Brown,adam15.xml,['Adam'],make|makes|making|maked,['P2Y10M2D'],we making train,,,,,0,,,
Brown,adam17.xml,['Adam'],make|makes|making|maked,['P2Y10M30D'],why dey they making noise,noise,event,noise,event,event,,,
Brown,adam17.xml,['Adam'],make|makes|making|maked,['P2Y10M30D'],who dat that making noise,,,,,0,,,
Brown,adam17.xml,['Adam'],make|makes|making|maked,['P2Y10M30D'],le me make it,,,,,0,,,
Brown,adam18.xml,['Adam'],make|makes|making|maked,['P2Y11M13D'],it's make noise,noise,event,noise,event,event,,,
Brown,adam18.xml,['Adam'],make|makes|making|maked,['P2Y11M13D'],I making coffee,coffee,object,coffee,object,object,,,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I don't want to make a building,building,object,building,object,object,,,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I make road,road,object,road,object,object,,,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I make a road,road,object,road,object,object,,,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I making dirts,dirts,,dirts,,0,?,?,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I making dirts,dirts,,dirts,,0,?,?,
Brown,adam19.xml,['Adam'],make|makes|making|maked,['P2Y11M28D'],I going make xxx,,,,,0,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],we not going make a bird,bird,object,bird,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],he have_to make another building,building,object,building,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],we going make a duck,duck,object,duck,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],make stand make a horse stand up,horse,object,stand,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],you making street light,light,object,street light,object,object,,,
Brown,adam20.xml,['Adam'],make|makes|making|maked,['P3Y0M11D'],Mommy make another street light,light,object,street light,object,object,,,
